subject_id,trial_idx,trial_nsamples,cycle_nsamples,cycle_seconds
S001,1,7300,3020,1.51
S001,2,6580,3160,1.58
S001,3,7540,3440,1.72
S001,4,8460,3540,1.77
S001,5,8200,3200,1.6
S002,1,5240,2680,1.34
S002,2,6700,4640,2.32
S002,3,6220,3060,1.53
S002,4,6160,3520,1.76
S002,5,9380,3020,1.51
S003,1,5000,3520,1.76
S003,2,5240,3220,1.61
S003,3,4360,3340,1.67
S003,4,4520,3240,1.62
S003,5,4960,3260,1.63
S004,1,5920,2740,1.37
S004,2,5900,3040,1.52
S004,3,7300,2820,1.41
S004,4,6940,2940,1.47
S004,5,7220,3080,1.54
S005,1,5080,2800,1.4
S005,2,4940,2860,1.43
S005,3,3580,2280,1.14
S005,4,4900,2880,1.44
S005,5,5740,2820,1.41
S006,1,3660,2240,1.12
S006,2,5180,3340,1.67
S006,3,5480,3340,1.67
S006,4,5260,3340,1.67
S006,5,5260,3200,1.6
S007,1,5060,1860,0.93
S007,2,6260,3440,1.72
S007,3,7660,3020,1.51
S007,4,5360,3020,1.51
S007,5,4720,2680,1.34
S008,1,10580,3800,1.9
S008,2,6840,3160,1.58
S008,3,6180,3140,1.57
S008,4,6200,3280,1.64
S008,5,6860,3120,1.56
S009,1,4900,3100,1.55
S009,2,4660,2500,1.25
S009,3,4240,2360,1.18
S009,4,4440,3240,1.62
S010,1,9380,3220,1.61
S010,2,5400,3280,1.64
S010,3,7820,4180,2.09
S010,4,6560,3980,1.99
S010,5,7280,3540,1.77
S011,1,4760,3040,1.52
S011,2,5660,3140,1.57
S011,3,7440,3300,1.65
S011,4,5880,2920,1.46
S011,5,6680,3120,1.56
S012,1,7240,3160,1.58
S012,2,6220,3500,1.75
S012,3,5500,3200,1.6
S012,4,6860,3440,1.72
S012,5,6220,3380,1.69
S013,1,2980,960,0.48
S013,2,3880,2800,1.4
S013,3,5540,3360,1.68
S013,4,5080,3180,1.59
S013,5,5280,3240,1.62
S014,1,4940,2880,1.44
S014,2,5880,3020,1.51
S014,3,4840,3000,1.5
S014,4,5480,2980,1.49
S014,5,5220,2180,1.09
S015,1,6300,2520,1.26
S015,2,4480,3000,1.5
S015,3,4400,2340,1.17
S015,4,5700,3260,1.63
S015,5,5520,3240,1.62
S016,1,5720,2920,1.46
S016,2,4940,3080,1.54
S016,3,4820,3440,1.72
S016,4,5200,3320,1.66
S016,5,4820,3360,1.68
S017,1,6140,3440,1.72
S017,2,5940,3300,1.65
S017,3,5360,3360,1.68
S017,4,6200,3440,1.72
S017,5,6020,3400,1.7
S018,1,7140,3800,1.9
S018,2,5620,3300,1.65
S018,3,5020,3600,1.8
S018,4,4860,3280,1.64
S018,5,4760,3200,1.6
S019,1,2820,2700,1.35
S019,2,3720,2700,1.35
S019,3,3720,2800,1.4
S019,4,4900,4080,2.04
S019,5,4040,3240,1.62
S020,1,2360,1280,0.64
S020,2,3580,2480,1.24
S020,3,3540,2260,1.13
S020,4,3680,2720,1.36
S020,5,3560,2380,1.19
